travel_purpose,travel_purpose_long,travel_purpose_NTEM,travel_purpose_aggr
1,Work,1,commute
2,In course of work,2,business
3,Education,3,other
4,Food shopping,4,other
5,Non food shopping,4,other
6,Personal business medical,5,other
7,Personal business eat / drink,5,other
8,Personal business other,5,other
9,Eat / drink with friends,6,other
10,Visit friends,7,other
11,Other social,6,other
12,Entertain /  public activity,6,other
13,Sport: participate,6,other
14,Holiday: base,8,other
15,Day trip / just walk,8,other
16,Other non-escort,6,other
17,Escort home,99,99
18,Escort work,1,other
19,Escort in course of work,2,other
20,Escort education,3,other
21,Escort shopping / personal business,4,other
22,Other escort,7,other
23,Home,99,99
