,purpose,tfn_at,mode,period,split,trips,total_trips,split_method
0,1,1,1,1,0.08892740093724108,428.5134145984572,4818.688166776322,observed
1,1,1,1,2,0.8333090604397896,4015.456508808709,4818.688166776322,observed
2,1,1,1,3,0.04028510086126897,194.1213388175874,4818.688166776322,observed
3,1,1,1,4,0.008773165892958519,42.27515067356484,4818.688166776322,observed
4,1,1,1,5,0.022723072840589994,109.49540220974743,4818.688166776322,observed
5,1,1,1,6,0.005982199028151849,28.826351668256127,4818.688166776322,observed
6,1,1,2,1,0.5033787417901675,103.59219389206818,205.79373996538456,observed
7,1,1,2,2,0.350627015922995,72.15684493969559,205.79373996538456,observed
8,1,1,2,3,0.04343001485900942,8.937625184587773,205.79373996538456,observed
9,1,1,2,4,0.09211418600109753,18.956522841032932,205.79373996538456,observed
10,1,1,2,5,0.010450041426730684,2.1505531080001106,205.79373996538456,observed
11,1,1,2,6,0.0,0.0,205.79373996538456,observed
12,1,1,3,1,0.40290466988048623,511.79676240562253,1270.2676356604081,observed
13,1,1,3,2,0.3716778447954857,472.13033713571775,1270.2676356604081,observed
14,1,1,3,3,0.10723155922079297,136.21277919957572,1270.2676356604081,observed
15,1,1,3,4,0.056080494440085525,71.2372370790741,1270.2676356604081,observed
16,1,1,3,5,0.03056578199616932,38.82672362838547,1270.2676356604081,observed
17,1,1,3,6,0.031539649666980196,40.063796212032514,1270.2676356604081,observed
18,1,1,4,1,0.2738786106160491,19.13567173589363,69.86917194026503,TBD
19,1,1,4,2,0.35970203528538025,25.132083350617513,69.86917194026503,TBD
20,1,1,4,3,0.14902431534514626,10.412205512130301,69.86917194026503,TBD
21,1,1,4,4,0.14317135067445902,10.003263717193757,69.86917194026503,TBD
22,1,1,4,5,0.0562847346468432,3.93256780265248,69.86917194026503,TBD
23,1,1,4,6,0.017938953432122005,1.25337982177734,69.86917194026503,TBD
24,1,1,5,1,0.4401916643547817,301.4015670338947,684.7053032584774,observed
25,1,1,5,2,0.38614554830581344,264.395904754643,684.7053032584774,observed
26,1,1,5,3,0.08459952243540496,57.925741664656314,684.7053032584774,observed
27,1,1,5,4,0.027455062786343607,18.79862709110394,684.7053032584774,observed
28,1,1,5,5,0.03697133505491002,25.314469180642945,684.7053032584774,observed
29,1,1,5,6,0.02463686706274627,16.86899353353648,684.7053032584774,observed
30,1,1,6,1,0.39020989790778093,183.8376040838534,471.12491269327074,observed
31,1,1,6,2,0.4071992291841878,191.84170129816764,471.12491269327074,observed
32,1,1,6,3,0.13476264080122374,63.49003738179114,471.12491269327074,observed
33,1,1,6,4,0.03266901186873474,15.391185364433081,471.12491269327074,observed
34,1,1,6,5,0.025576621601156237,12.049783618833555,471.12491269327074,observed
35,1,1,6,6,0.00958259863691665,4.5146009461920125,471.12491269327074,observed
36,1,1,7,1,0.3484005942070455,386.49921305952864,1109.3529100867208,observed
37,1,1,7,2,0.47174644309669367,523.3332894723768,1109.3529100867208,observed
38,1,1,7,3,0.09821269544303038,108.95253949718658,1109.3529100867208,observed
39,1,1,7,4,0.04504762556795455,49.97371451630735,1109.3529100867208,observed
40,1,1,7,5,0.021026525153992434,23.325836868593143,1109.3529100867208,observed
41,1,1,7,6,0.015566116531283484,17.268316672728346,1109.3529100867208,observed
42,1,2,1,1,0.11975782211031309,150.56039731582754,1257.207209205434,observed
43,1,2,1,2,0.8272385674403946,1040.0102907188398,1257.207209205434,observed
44,1,2,1,3,0.03765530857563079,47.34052540613824,1257.207209205434,observed
45,1,2,1,4,0.008163146708255051,10.262766891419858,1257.207209205434,observed
46,1,2,1,5,0.007185155165406433,9.03322887320863,1257.207209205434,observed
47,1,2,1,6,0.0,0.0,1257.207209205434,observed
48,1,2,2,1,0.40823076674203324,24.73696134462071,60.595534094695864,TBD
49,1,2,2,2,0.3270525064610699,19.817921306017503,60.595534094695864,TBD
50,1,2,2,3,0.09838577039551821,5.961738304434543,60.595534094695864,TBD
51,1,2,2,4,0.11304375818857938,6.8499469035086165,60.595534094695864,TBD
52,1,2,2,5,0.053287198212799286,3.2289662361144957,60.595534094695864,TBD
53,1,2,2,6,0.0,0.0,60.595534094695864,TBD
54,1,2,3,1,0.4872107596820591,1611.595207890778,3307.798885522279,observed
55,1,2,3,2,0.30942570580870515,1023.5180048259793,3307.798885522279,observed
56,1,2,3,3,0.09182985006195138,303.75467569260076,3307.798885522279,observed
57,1,2,3,4,0.05535810257926215,183.11347001631134,3307.798885522279,observed
58,1,2,3,5,0.0330533109290675,109.33370505399084,3307.798885522279,observed
59,1,2,3,6,0.023122270938954595,76.48382204261819,3307.798885522279,observed
60,1,2,4,1,0.20288901616824068,28.81161998095752,142.0068001959564,observed
61,1,2,4,2,0.4804602647341108,68.22862481619319,142.0068001959564,observed
62,1,2,4,3,0.08667882566886324,12.308982677978399,142.0068001959564,observed
63,1,2,4,4,0.1380220826196747,19.60007430920193,142.0068001959564,observed
64,1,2,4,5,0.06528271513180632,9.27058948397196,142.0068001959564,observed
65,1,2,4,6,0.0266670956773042,3.78690892765339,142.0068001959564,observed
66,1,2,5,1,0.37076239295239677,114.41161464308153,308.58473463831365,observed
67,1,2,5,2,0.3711958118145008,114.54536108763114,308.58473463831365,observed
68,1,2,5,3,0.08574709724953387,26.460245250753083,308.58473463831365,observed
69,1,2,5,4,0.07348142813578792,22.67524700212643,308.58473463831365,observed
70,1,2,5,5,0.06882609523483435,21.23868233423266,308.58473463831365,observed
71,1,2,5,6,0.029987174612946477,9.253584320488864,308.58473463831365,observed
